country,type,date,demand
AT,power,2020-12-11,114841200.0
AT,power,2020-12-12,92794800.0
AT,power,2020-12-13,97548400.0
AT,power,2020-12-14,111603400.0
AT,power,2020-12-15,90480600.0
AT,power,2020-12-16,136751800.0
AT,power,2020-12-17,136952200.0
AT,power,2020-12-18,123102800.0
AT,power,2020-12-19,83456000.0
AT,power,2020-12-20,92354000.0
AT,power,2020-12-21,107636200.0
AT,power,2020-12-22,108006000.0
AT,power,2020-12-23,88686599.99999999
AT,power,2020-12-24,62375400.0
AT,power,2020-12-25,59332200.0
AT,power,2020-12-26,60061000.0
AT,power,2020-12-27,33806200.0
AT,power,2020-12-28,75203400.0
AT,power,2020-12-29,78177600.0
AT,power,2020-12-30,82084800.0
AT,power,2020-12-31,83571000.0
AT,power,2021-01-01,89753600.0
AT,power,2021-01-02,93954800.0
AT,power,2021-01-03,86026400.0
AT,power,2021-01-04,88352200.0
AT,power,2021-01-05,106734000.0
AT,power,2021-01-06,91241400.0
AT,power,2021-01-07,92810400.0
AT,power,2021-01-08,96937400.0
AT,power,2021-01-09,92241800.0
AT,power,2021-01-10,90980000.0
AT,power,2021-01-11,90888600.0
AT,power,2021-01-12,115039600.0
AT,power,2021-01-13,102467400.0
AT,power,2021-01-14,93079600.0
AT,power,2021-01-15,93283000.0
AT,power,2021-01-16,88585600.0
AT,power,2021-01-17,96923200.0
AT,power,2021-01-18,120272000.0
AT,power,2021-01-19,102914600.0
AT,power,2021-01-20,93972200.0
AT,power,2021-01-21,88895800.0
AT,power,2021-01-22,87357600.0
AT,power,2021-01-23,78838600.0
AT,power,2021-01-24,82480400.0
AT,power,2021-01-25,87682400.0
AT,power,2021-01-26,90264000.0
AT,power,2021-01-27,110176200.0
AT,power,2021-01-28,105759200.0
AT,power,2021-01-29,102179000.0
AT,power,2021-01-30,72888400.0
AT,power,2021-01-31,80603600.0
AT,power,2021-02-01,88064000.0
AT,power,2021-02-02,92265000.0
AT,power,2021-02-03,79275600.0
AT,power,2021-02-04,79831200.0
AT,power,2021-02-05,86244599.99999999
AT,power,2021-02-06,62085800.0
AT,power,2021-02-07,35376400.0
AT,power,2021-02-08,88532800.0
AT,power,2021-02-09,98266800.0
AT,power,2021-02-10,98280200.0
AT,power,2021-02-11,98111000.0
AT,power,2021-02-12,124426400.0
AT,power,2021-02-13,97976200.0
